,Avg. gpm,area/block,Wetted area,inches/hour,Soil h2o holding capacity,MAD %,MAD,,
Irrigation rate (in/hour),352,10,30%,0.07782,4,70%,-2.80,,
,DU,pre infiltration losses,IE with perfect timing,Canopy Cover Adjustment,Hours Run,Water Applied,Adjusted for IE,,
Irrigation efficiency,0.85,0.05,0.8075,85%,24,1.868,1.508,,
,,,,,,,,,
,,,,,,,,,
Date,Average Pressure Bomb Reading,Eto,Monthly Crop Coefficient,ETc,Hours System Run,Precipitation / Irrigation,Previous Weeks Debit/Credit,Soil Moisture Balance,MAD
March 1,,0.07,0.364,0.021658,,0,0.00,-0.022,-2.80
March 2 ,,0.01,0.418,0.00418,,0,-0.02,-0.026,-2.80
3/15/2020,,0.07,0.62,0.03689,,0,-0.03,-0.063,-2.80
3/16/2020,,0.01,0.62,0.00527,,0,-0.06,-0.068,-2.80
3/17/2020,,0.1,0.62,0.0527,,0,-0.07,-0.121,-2.80
3/18/2020,,0.08,0.62,0.04216,,0,-0.12,-0.163,-2.80
3/19/2020,,0.12,0.62,0.06324,,0,-0.16,-0.226,-2.80
3/20/2020,,0.14,0.62,0.07378,,0,-0.23,-0.300,-2.80
3/21/2020,,0.1,0.62,0.0527,,0,-0.30,-0.353,-2.80
3/22/2020,,0.13,0.62,0.06851,,0,-0.35,-0.421,-2.80
3/23/2020,,-0.11,0.62,-0.05797,,0,-0.42,-0.363,-2.80
3/24/2020,,0.11,0.62,0.05797,,0,-0.36,-0.421,-2.80
3/25/2020,,0.1,0.62,0.0527,,0,-0.42,-0.474,-2.80
3/26/2020,,0.14,0.62,0.07378,,0,-0.47,-0.548,-2.80
3/27/2020,,0.14,0.62,0.07378,,0,-0.55,-0.621,-2.80
3/28/2020,,0,0.62,0,,0,-0.62,-0.621,-2.80
3/29/2020,,0.1,0.62,0.0527,,0,-0.62,-0.674,-2.80
3/30/2020,,0.14,0.62,0.07378,,0,-0.67,-0.748,-2.80
3/31/2020,,0.15,0.62,0.07905,24,1.50811636363636,-0.75,0.681,-2.80
4/1/2020,,0.18,0.8,0.1224,,0,0.68,0.559,-2.80
4/2/2020,,0.21,0.8,0.1428,,0,0.56,0.416,-2.80
4/3/2020,,0.18,0.8,0.1224,,0,0.42,0.294,-2.80
4/4/2020,,0.07,0.8,0.0476,,0,0.29,0.246,-2.80
4/5/2020,,-0.57,0.8,-0.3876,,0,0.25,0.634,-2.80
4/6/2020,,-0.11,0.8,-0.0748,,0,0.63,0.708,-2.80
4/7/2020,,0.16,0.8,0.1088,,0,0.71,0.600,-2.80
4/8/2020,,0.11,0.8,0.0748,,0,0.60,0.525,-2.80
4/9/2020,,-0.1,0.8,-0.068,,0,0.52,0.593,-2.80
4/10/2020,,0.12,0.8,0.0816,,0,0.59,0.511,-2.80
4/11/2020,,0.17,0.8,0.1156,,0,0.51,0.396,-2.80
4/12/2020,,0.13,0.8,0.0884,,0,0.40,0.307,-2.80
4/13/2020,,0.2,0.8,0.136,,0,0.31,0.171,-2.80
4/14/2020,,0.22,0.8,0.1496,,0,0.17,0.022,-2.80
4/15/2020,,0.2,0.8,0.136,,0,0.02,-0.114,-2.80
4/16/2020,,0.17,0.8,0.1156,,0,-0.11,-0.230,-2.80
4/17/2020,,0.16,0.8,0.1088,,0,-0.23,-0.339,-2.80
4/18/2020,,0.13,0.8,0.0884,,0,-0.34,-0.427,-2.80
4/19/2020,,0.18,0.8,0.1224,,0,-0.43,-0.550,-2.80
4/20/2020,,0.13,0.8,0.0884,,0,-0.55,-0.638,-2.80
4/21/2020,,0.21,0.8,0.1428,,0,-0.64,-0.781,-2.80
4/22/2020,,0.22,0.8,0.1496,,0,-0.78,-0.930,-2.80
4/23/2020,,0.27,0.8,0.1836,24,1.50811636363636,-0.93,0.394,-2.80
4/24/2020,,0.27,0.8,0.1836,,0,0.39,0.211,-2.80
4/25/2020,,0.25,0.8,0.17,,0,0.21,0.041,-2.80
4/26/2020,,0.26,0.8,0.1768,,0,0.04,-0.136,-2.80
4/27/2020,,0.27,0.8,0.1836,,0,-0.14,-0.320,-2.80
4/28/2020,,0.26,0.8,0.1768,,0,-0.32,-0.497,-2.80
4/29/2020,,0.22,0.8,0.1496,,0,-0.50,-0.646,-2.80
4/30/2020,,0.29,0.8,0.1972,24,1.50811636363636,-0.65,0.665,-2.80
5/1/2020,,0.27,0.94,0.21573,,0,0.66,0.449,-2.80
5/2/2020,,0.23,0.94,0.18377,,0,0.45,0.265,-2.80
5/3/2020,,0.25,0.94,0.19975,,0,0.27,0.065,-2.80
5/4/2020,,0.26,0.94,0.20774,,0,0.07,-0.142,-2.80
5/5/2020,,0.27,0.94,0.21573,,0,-0.14,-0.358,-2.80
5/6/2020,,0.3,0.94,0.2397,,0,-0.36,-0.598,-2.80
5/7/2020,,0.29,0.94,0.23171,,0,-0.60,-0.829,-2.80
5/8/2020,,0.28,0.94,0.22372,,0,-0.83,-1.053,-2.80
5/9/2020,,0.3,0.94,0.2397,24,1.50811636363636,-1.05,0.215,-2.80
5/10/2020,,0.29,0.94,0.23171,,0,0.22,-0.016,-2.80
5/11/2020,,0.26,0.94,0.20774,,0,-0.02,-0.224,-2.80
